DataPedido;Regiao;UF;Estado;Vendedor;Seção;Item;Preço;Unidades
2022-11-04 00:00:00;Sudeste;SP;São Paulo;Smith;Cozinha;Microondas;600,0;87
2022-11-05 00:00:00;Sudeste;RJ;Rio de Janeiro;Raquel;Cozinha;Microondas;600,0;28
2022-12-10 00:00:00;Sudeste;SP;São Paulo;Alan;Cozinha;Fogão;628,6;27
2022-12-14 00:00:00;Sudeste;SP;São Paulo;Alan;Cozinha;Microondas;650,0;80
2023-02-06 00:00:00;Sudeste;RJ;Rio de Janeiro;Raquel;Cozinha;Fogão;650,99;53
2023-02-10 00:00:00;Sudeste;RJ;Rio de Janeiro;Pedro;Cozinha;Fogão;650,99;75
2023-02-11 00:00:00;Sudeste;SP;São Paulo;Raquel;Cozinha;Microondas;650,0;4
2023-03-21 00:00:00;Sudeste;SP;São Paulo;Smith;Cozinha;Microondas;650,0;28
2023-03-22 00:00:00;Sudeste;RJ;Rio de Janeiro;Raquel;Cozinha;Fogão;650,99;35
2023-05-01 00:00:00;Sudeste;SP;São Paulo;Alan;Cozinha;Microondas;650,0;60
2023-06-06 00:00:00;Sudeste;SP;São Paulo;Alan;Cozinha;Lavadora;1500,0;2
2023-06-07 00:00:00;Sudeste;RJ;Rio de Janeiro;Raquel;Cozinha;Fogão;650,99;7
2023-06-08 00:00:00;Sudeste;SP;São Paulo;Alex;Cozinha;Fogão;650,99;67
2023-06-09 00:00:00;Sudeste;SP;São Paulo;Alex;Cozinha;Geladeira;2500,0;16
2023-07-13 00:00:00;Sudeste;RJ;Rio de Janeiro;Alan;Eletrônicos;Caixa de Som;900,0;10
2023-07-18 00:00:00;Sudeste;SP;São Paulo;Smith;Cozinha;Microondas;650,0;57
2023-07-19 00:00:00;Sudeste;RJ;Rio de Janeiro;Raquel;Cozinha;Microondas;650,0;28
